lon,lat
-86.79,36.15
-84.13,36.09
-89.93,35.05
-85.63,35.07
-85.76,36.18
-86.13,35.27
-83.49,36.12
-82.19,36.6
-88.82,35.64
-86.81,35.52
-84.16,35.77
-89.81,35.08
-85.19,35.61
-85.44,36.4
-86.21,35.37
-85.47,35.93
-86.73,36.07
-84.59,35.44
-83.81,36.12
-86.79,36.15
-82.49,36.52
-88.28,36.03
-85.31,35.03
-87.83,36.48
-87.34,35.43
-84.38,35.04
-84.03,36.05
-88.66,35.23
-89.42,36.06
-86.86,36.22
-85.84,36.19
-88.94,35.36
-86.16,36.39
-85.15,35.03
-83.75,35.94
-86.4,35.85
-89.4,35.2
-85.46,36.18
-83.88,35.92
-86.83,36.27
-87.7,36.6
-88.53,35.02
-85.82,35.96
-83.74,35.86
-89.09,35.73
-87.31,35.32
-87.14,36.37
-82.82,36.47
-87.05,35.61
-85.64,36.16
-89.98,35.1
-87.13,35.97
-88.67,35.77
-86.33,35.78
-83.61,36.43
